id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage	consensus_len	consensus_status
ec27	1:107466211-107468161_-	1951	1	cyclic	1	19050	9.76	1951	No_indel
ec28	10:61100839-61102358_-	1520	1	cyclic	1	11932	7.85	1521	Insertion
ec29	12:32361728-32363489_+	1762	1	cyclic	1	17529	9.95	1764	Insertion
ec30	5:84640457-84642132_-	1676	1	cyclic	2	18655	11.13	1675	Deletion
ec31	13:22078659-22079863_+	1205	1	cyclic	1	19163	15.90	1205	No_indel
ec32	18:74924093-74935246_-	11154	1	cyclic	5	46962	4.21	11172	Insertion
ec33	12:74213781-74219461_-	5681	1	cyclic	2	34761	6.12	5683	Insertion
ec34	1:199808719-199813573_+	4855	1	cyclic	2	27093	5.58	4860	Insertion
ec35	1:218857131-218861700_-	4570	1	cyclic	1	27128	5.94	4572	Insertion
ec36	11:11698683-11699458_+	776	1	cyclic	1	11457	14.76	778	Insertion
ec37	3:179367091-179367770_-	680	1	cyclic	1	10554	15.52	680	No_indel
ec38	15:95940830-95941609_-	780	1	cyclic	1	6203	7.95	781	Insertion
ec39	12:69578562-69580072_+	1511	1	cyclic	3	13594	9.00	1511	No_indel
ec40	11:130510163-130512011_+	1849	1	cyclic	2	12471	6.74	1845	Deletion
ec41	3:146453123-146455042_-	1920	1	cyclic	1	18774	9.78	1921	Insertion
ec42	2:241398946-241399519_-	574	1	cyclic	2	13437	23.41	573	Deletion
ec43	1:224568141-224569954_-	1814	1	cyclic	1	10553	5.82	1817	Insertion
ec44	5:153652298-153654242_+	1945	1	cyclic	1	11389	5.86	1946	Insertion
ec45	4:122356221-122358801_+	2581	1	cyclic	1	15219	5.90	2586	Insertion
ec46	14:68404000-68405726_+	1727	1	cyclic	1	17111	9.91	1728	Insertion
ec47	7:114162453-114165918_-	3466	1	cyclic	2	20608	5.95	3469	Insertion
ec48	11:16439121-16439705_-	585	1	cyclic	1	6267	10.71	586	Insertion
ec49	11:131524427-131525347_-	921	1	cyclic	1	5330	5.79	923	Insertion
ec50	3:28104190-28106122_-	1933	1	cyclic	2	17041	8.82	1935	Insertion
ec51	8:18966540-18967203_+	664	1	cyclic	1	12977	19.54	667	Insertion
ec52	11:89065622-89067005_+	1384	1	cyclic	1	8130	5.87	1389	Insertion
ec53	1:77572844-77575004_+	2161	1	cyclic	1	10770	4.98	2161	No_indel
ec54	2:242062295-242066073_-	3779	1	cyclic	1	26081	6.90	3780	Insertion
ec55	9:105661183-105662690_+	1508	1	cyclic	1	8937	5.93	1510	Insertion
ec56	10:57258702-57260997_-	2296	1	cyclic	1	13273	5.78	2293	Deletion
ec57	19:345987-346565_+	579	1	cyclic	1	3957	6.83	579	No_indel
ec58	15:48427689-48429630_-	1942	1	cyclic	1	11440	5.89	1942	No_indel
ec59	1:38178139-38178811_+	673	1	cyclic	1	3965	5.89	673	No_indel
ec60	7:94652978-94654888_-	1911	1	cyclic	1	11326	5.93	1911	No_indel
ec61	1:244725833-244727272_-	1440	1	cyclic	1	8533	5.93	1440	No_indel
ec62	12:108972708-108974064_-	1357	1	cyclic	1	13367	9.85	1361	Insertion
ec63	6:112961538-112966790_-	5253	1	cyclic	1	30620	5.83	5257	Insertion
ec64	14:50553525-50556029_-	2505	1	cyclic	2	68710	27.43	2506	Insertion
ec65	3:101200798-101206423_-	5626	1	cyclic	2	44210	7.86	5630	Insertion
ec66	2:87293738-87295100_+	1363	1	cyclic	1	13419	9.85	1363	No_indel
ec67	1:59211604-59214558_-	2955	1	cyclic	1	17392	5.89	2955	No_indel
ec68	5:106164774-106167792_-	3019	1	cyclic	1	20874	6.91	3022	Insertion
ec69	3:74665667-74667267_-	1601	1	cyclic	1	9484	5.92	1601	No_indel
ec70	2:187617229-187618408_-	1180	1	cyclic	1	16411	13.91	1180	No_indel
ec71	14:30697156-30698416_+	1261	1	cyclic	1	7558	5.99	1261	No_indel
ec72	1:59887967-59891897_-	3931	1	cyclic	2	20234	5.15	3933	Insertion
ec73	10:52227596-52232694_-	5099	1	cyclic	2	47363	9.29	5102	Insertion
ec74	2:66951711-66952553_-	843	1	cyclic	3	14329	17.00	843	No_indel
ec75	14:55694679-55697455_-	2777	1	cyclic	2	19175	6.90	2783	Insertion
ec76	4:167307095-167309272_-	2178	1	cyclic	1	12941	5.94	2183	Insertion
ec77	5:148398311-148399674_-	1364	1	cyclic	2	16008	11.74	1367	Insertion
ec78	4:39131206-39134680_-	3475	1	cyclic	1	20710	5.96	3478	Insertion
ec79	15:26332244-26334426_+	2183	1	cyclic	1	17202	7.88	2180	Deletion
ec80	5:78330542-78331765_+	1224	1	cyclic	1	9710	7.93	1229	Insertion
ec81	5:19877879-19879913_-	2035	1	cyclic	1	15920	7.82	2037	Insertion
ec82	22:21639868-21640382_+	515	1	cyclic	1	3062	5.95	515	No_indel
ec83	10:114057349-114058668_-	1320	1	cyclic	1	7833	5.93	1321	Insertion
ec84	18:80114415-80116330_+	1916	1	cyclic	1	9633	5.03	1917	Insertion
ec85	X:152074086-152076580_-	2495	1	cyclic	2	14740	5.91	2494	Deletion
ec86	6:106894094-106895213_-	1120	1	cyclic	1	6837	6.10	1125	Insertion
ec87	5:89420329-89421516_-	1188	1	cyclic	1	7102	5.98	1189	Insertion
ec88	3:115741727-115743343_-	1617	1	cyclic	1	9532	5.89	1618	Insertion
ec89	2:101735651-101739464_+	3814	1	cyclic	1	22415	5.88	3818	Insertion
ec90	9:5712625-5714035_+	1411	1	cyclic	1	8456	5.99	1413	Insertion
ec91	5:142330559-142331271_+	713	1	cyclic	1	4764	6.68	710	Deletion
ec92	14:64547558-64549469_-	1912	1	cyclic	1	14969	7.83	1914	Insertion
ec93	12:31133058-31134109_-	1052	1	cyclic	1	5197	4.94	1050	Deletion
ec94	7:19361011-19363691_+	2681	1	cyclic	1	21185	7.90	2682	Insertion
ec95	2:145117488-145119760_+	2273	1	cyclic	1	13460	5.92	2272	Deletion
ec96	6:26047412-26050175_+	2764	1	cyclic	1	21916	7.93	2767	Insertion
ec97	15:81355965-81360515_-	4551	1	cyclic	3	33540	7.37	4558	Insertion
ec98	4:119068603-119068985_+	383	1	cyclic	2	24773	64.68	383	No_indel
ec99	6:129400649-129403636_-	2988	1	cyclic	1	17699	5.92	2992	Insertion
ec100	5:143020841-143023363_-	2523	1	cyclic	2	13509	5.35	2524	Insertion
ec101	4:148244650-148246032_-	1383	1	cyclic	1	16333	11.81	1382	Deletion
ec102	1:65833896-65836223_-	2328	1	cyclic	1	17773	7.63	2281	Deletion
ec103	15:24782678-24789378_-	6701	1	cyclic	4	26832	4.00	6719	Insertion
ec104	2:148919115-148920843_+	1729	1	cyclic	1	12150	7.03	1730	Insertion
ec105	5:72226811-72230367_-	3557	1	cyclic	2	27000	7.59	3557	No_indel
ec106	15:99980549-99981236_-	688	1	cyclic	2	16985	24.69	688	No_indel
ec107	1:19559531-19560216_+	686	1	cyclic	1	5392	7.86	686	No_indel
ec108	5:147794887-147797911_+	3025	1	cyclic	1	23754	7.85	3027	Insertion
ec109	1:224737186-224739013_-	1828	1	cyclic	1	25413	13.90	1829	Insertion
ec110	8:71320589-71321160_+	572	1	cyclic	2	13319	23.28	573	Insertion
ec111	8:74760468-74763326_+	2859	1	cyclic	1	22467	7.86	2861	Insertion
ec112	11:121710578-121711137_+	560	1	cyclic	1	6596	11.78	561	Insertion
ec113	15:44780138-44781561_-	1424	1	cyclic	2	21845	15.34	1424	No_indel
ec114	1:154486176-154487446_+	1271	1	cyclic	3	15285	12.03	1270	Deletion
ec115	17:28684508-28686296_-	1789	1	cyclic	1	10570	5.91	1788	Deletion
ec116	18:46320434-46322256_+	1823	1	cyclic	1	10892	5.97	1823	No_indel
ec117	13:24870617-24871957_-	1341	1	cyclic	2	9631	7.18	1345	Insertion
ec118	9:83082128-83087298_-	5171	1	cyclic	4	31046	6.00	5173	Insertion
ec119	5:159405940-159407641_-	1702	1	cyclic	1	23389	13.74	1702	No_indel
ec120	4:41629328-41631400_+	2073	1	cyclic	2	24285	11.71	2077	Insertion
ec121	2:156546726-156550388_-	3663	1	cyclic	3	19598	5.35	3670	Insertion
ec122	8:16253760-16258766_-	5007	1	cyclic	2	22038	4.40	5009	Insertion
ec123	5:119524548-119526036_-	1489	1	cyclic	1	14727	9.89	1492	Insertion
ec124	9:77730958-77732288_-	1331	1	cyclic	2	7698	5.78	1331	No_indel
ec125	4:156430560-156433652_+	3093	1	cyclic	1	36498	11.80	3093	No_indel
ec126	12:11559355-11560352_+	998	1	cyclic	1	7873	7.89	999	Insertion
ec127	16:80685005-80686917_+	1913	1	cyclic	1	11165	5.84	1915	Insertion
ec128	8:140649036-140653446_-	4411	1	cyclic	1	26229	5.95	4415	Insertion
ec129	2:188670485-188671091_-	607	1	cyclic	1	10205	16.81	607	No_indel
ec130	10:70227066-70228366_+	1301	1	cyclic	1	12842	9.87	1302	Insertion
ec131	2:45810305-45812383_-	2079	1	cyclic	2	20342	9.78	2079	No_indel
ec132	10:83407025-83408267_-	1243	1	cyclic	1	21931	17.64	1244	Insertion
ec133	12:69735462-69736964_-	1503	1	cyclic	1	8988	5.98	1505	Insertion
ec134	7:47455347-47456417_+	1071	1	cyclic	1	10921	10.20	1071	No_indel
ec135	10:113898571-113903163_+	4593	1	cyclic	2	29092	6.33	4596	Insertion
ec136	5:84900625-84906911_-	6287	1	cyclic	3	28457	4.53	6292	Insertion
ec137	1:186332194-186332596_+	403	1	cyclic	2	10061	24.97	403	No_indel
ec138	8:91289615-91293754_-	4140	1	cyclic	2	33283	8.04	4142	Insertion
ec139	12:42341225-42342619_-	1395	1	cyclic	1	8307	5.95	1397	Insertion
ec140	17:32673477-32675605_-	2129	1	cyclic	1	21160	9.94	2130	Insertion
ec141	4:159575168-159577129_-	1962	1	cyclic	1	11691	5.96	1962	No_indel
ec142	14:57200374-57204388_-	4015	1	cyclic	1	31772	7.91	4021	Insertion
ec143	16:31592175-31595079_+	2905	1	cyclic	1	17224	5.93	2906	Insertion
ec144	4:111475901-111478315_-	2415	1	cyclic	2	35154	14.56	2419	Insertion
ec145	1:107120289-107122997_+	2709	1	cyclic	1	16081	5.94	2708	Deletion
ec146	1:231825283-231827679_+	2397	1	cyclic	1	28375	11.84	2401	Insertion
ec147	2:174872732-174874237_+	1506	1	cyclic	1	20622	13.69	1509	Insertion
ec148	12:10985849-10989881_-	4033	1	cyclic	2	43612	10.81	4031	Deletion
ec149	17:54450983-54453045_-	2063	1	cyclic	1	12308	5.97	2063	No_indel
ec150	4:109562109-109563680_-	1572	1	cyclic	1	12407	7.89	1573	Insertion
ec151	5:101813841-101818150_+	4310	1	cyclic	2	26586	6.17	4311	Insertion
ec152	6:47193279-47194167_+	889	1	cyclic	1	15891	17.88	897	Insertion
ec153	18:56929152-56931302_+	2151	1	cyclic	1	12783	5.94	2154	Insertion
ec154	2:165198693-165201694_+	3002	1	cyclic	1	23631	7.87	3004	Insertion
ec155	13:105932312-105933134_-	823	1	cyclic	1	9713	11.80	823	No_indel
ec156	8:119025743-119029947_-	4205	1	cyclic	2	20718	4.93	4211	Insertion
ec157	2:178212329-178213147_+	819	1	cyclic	1	8044	9.82	820	Insertion
ec158	7:19916537-19918605_-	2069	1	cyclic	1	12036	5.82	2066	Deletion
ec159	1:227265661-227268602_+	2942	1	cyclic	1	22882	7.78	2946	Insertion
ec160	20:3734193-3735458_+	1266	1	cyclic	1	10048	7.94	1267	Insertion
ec161	2:219063793-219064292_+	500	1	cyclic	1	5950	11.90	500	No_indel
ec162	12:92622257-92624238_-	1982	1	cyclic	2	9916	5.00	1979	Deletion
ec163	2:165155591-165156330_-	740	1	cyclic	1	7330	9.91	740	No_indel
ec164	4:182108690-182109896_+	1207	1	cyclic	1	16703	13.84	1207	No_indel
ec165	16:53922825-53925521_+	2697	1	cyclic	1	15835	5.87	2700	Insertion
ec166	19:55038775-55039366_+	592	1	cyclic	1	4631	7.82	593	Insertion
ec167	5:71014240-71014780_+	541	1	cyclic	2	18733	34.63	542	Insertion
ec168	8:92491722-92492882_-	1161	1	cyclic	1	9132	7.87	1161	No_indel
ec169	11:126892571-126893662_-	1092	1	cyclic	1	17103	15.66	1092	No_indel
ec170	7:33001452-33002235_-	784	1	cyclic	1	5473	6.98	789	Insertion
ec171	7:133261339-133265350_+	4012	1	cyclic	2	25252	6.29	4021	Insertion
ec172	6:16727521-16729397_+	1877	1	cyclic	1	14766	7.87	1876	Deletion
ec173	16:28155330-28155837_+	508	1	cyclic	1	11021	21.69	509	Insertion
ec174	X:105511795-105512028_-	234	1	cyclic	1	4661	19.92	234	No_indel
ec175	11:28625452-28626536_-	1085	1	cyclic	1	13024	12.00	1085	No_indel
ec176	15:94354471-94359043_-	4573	1	cyclic	1	27127	5.93	4578	Insertion
ec177	17:31400559-31401974_+	1416	1	cyclic	1	16747	11.83	1416	No_indel
ec178	16:74229477-74231735_-	2259	1	cyclic	1	44373	19.64	2261	Insertion
ec179	2:72276170-72277184_+	1015	1	cyclic	1	9797	9.65	1015	No_indel
ec180	5:107426881-107428295_-	1415	1	cyclic	1	11135	7.87	1416	Insertion
ec181	14:93626542-93627040_-	499	1	cyclic	1	5806	11.64	498	Deletion
ec182	20:12879762-12883090_-	3329	1	cyclic	2	22021	6.61	3330	Insertion
ec183	7:19417881-19419077_-	1197	1	cyclic	1	6207	5.19	1203	Insertion
ec184	X:53122380-53123785_-	1406	1	cyclic	1	8365	5.95	1407	Insertion
ec185	14:45464801-45466551_-	1751	1	cyclic	1	9917	5.66	1754	Insertion
ec186	6:52015751-52018593_-	2843	1	cyclic	1	22359	7.86	2843	No_indel
ec187	X:131241661-131245430_-	3770	1	cyclic	1	37214	9.87	3774	Insertion
ec188	1:236068140-236068942_-	803	1	cyclic	1	4805	5.98	804	Insertion
ec189	7:16939007-16942124_+	3118	1	cyclic	1	18703	6.00	3134	Insertion
ec190	8:115382958-115384023_-	1066	1	cyclic	2	13883	13.02	1067	Insertion
ec191	4:61610975-61611890_+	916	1	cyclic	1	4553	4.97	917	Insertion
ec192	8:127585129-127588646_-	3518	1	cyclic	1	20623	5.86	3518	No_indel
ec193	1:242217478-242223394_+	5917	1	cyclic	2	39338	6.65	5925	Insertion
ec194	2:180374314-180374638_-	325	1	cyclic	1	16730	51.48	327	Insertion
ec195	2:15394040-15396375_-	2336	1	cyclic	1	13618	5.83	2337	Insertion
ec196	3:153333313-153335105_+	1793	1	cyclic	1	10638	5.93	1793	No_indel
ec197	6:105081345-105082201_-	857	1	cyclic	2	11546	13.47	857	No_indel
ec198	7:53917643-53921393_+	3751	1	cyclic	1	22222	5.92	3755	Insertion
ec199	3:158900810-158905896_-	5087	1	cyclic	1	49452	9.72	5093	Insertion
ec200	2:208580782-208582255_+	1474	1	cyclic	1	30012	20.36	1474	No_indel
ec201	3:84729023-84730426_+	1404	1	cyclic	2	30897	22.01	1404	No_indel
ec202	11:85661878-85662756_+	879	1	cyclic	1	10348	11.77	879	No_indel
ec203	10:4594237-4596318_+	2082	1	cyclic	1	12404	5.96	2083	Insertion
ec204	21:27301081-27303925_-	2845	1	cyclic	1	45442	15.97	2871	Insertion
ec205	6:82116191-82117372_+	1182	1	cyclic	1	6978	5.90	1183	Insertion
ec206	2:176781433-176784203_+	2771	1	cyclic	1	16362	5.90	2771	No_indel
ec207	10:103566531-103568633_-	2103	1	cyclic	1	12458	5.92	2107	Insertion
ec208	22:28716306-28717286_+	981	1	cyclic	1	10638	10.84	983	Insertion
ec209	2:62763525-62766013_+	2489	1	cyclic	1	14764	5.93	2493	Insertion
ec210	2:165940618-165941970_+	1353	1	cyclic	1	6719	4.97	1353	No_indel
ec211	16:65307531-65310758_+	3228	1	cyclic	1	19128	5.93	3236	Insertion
ec212	1:229324608-229325956_-	1349	1	cyclic	1	8025	5.95	1349	No_indel
ec213	14:38666077-38668907_-	2831	1	cyclic	1	32926	11.63	2854	Insertion
ec214	10:24712484-24714710_+	2227	1	cyclic	1	17428	7.83	2229	Insertion
ec215	1:196080394-196080924_+	531	1	cyclic	2	23671	44.58	531	No_indel
ec216	6:115063112-115064776_-	1665	1	cyclic	1	25064	15.05	1663	Deletion
ec217	5:84548652-84549943_+	1292	1	cyclic	1	10200	7.89	1291	Deletion
ec218	2:111988798-111991977_-	3180	1	cyclic	1	30782	9.68	3182	Insertion
ec219	10:3960990-3962192_+	1203	1	cyclic	1	9484	7.88	1203	No_indel
ec220	X:134565546-134566236_+	691	1	cyclic	1	10885	15.75	691	No_indel
ec221	6:82273017-82275569_-	2553	1	cyclic	1	30150	11.81	2557	Insertion
ec222	4:1120255-1124731_-	4477	1	cyclic	2	37509	8.38	4481	Insertion
ec223	10:96018537-96020675_-	2139	1	cyclic	1	12720	5.95	2142	Insertion
ec224	18:13650938-13652677_+	1740	1	cyclic	1	15470	8.89	1740	No_indel
ec225	1:167546670-167548772_-	2103	1	cyclic	1	12244	5.82	2102	Deletion
ec226	8:105743264-105744278_-	1015	1	cyclic	1	6817	6.72	1016	Insertion
ec227	7:92761370-92762989_-	1620	1	cyclic	2	12809	7.91	1625	Insertion
ec228	6:135317299-135318936_+	1638	1	cyclic	1	35526	21.69	1639	Insertion
ec229	1:234287075-234288046_-	972	1	cyclic	1	5793	5.96	973	Insertion
ec230	X:43115759-43116565_+	807	1	cyclic	1	19513	24.18	806	Deletion
ec231	18:60045207-60051570_-	6364	1	cyclic	7	51206	8.05	6399	Insertion
ec232	12:60110170-60114592_+	4423	1	cyclic	1	26357	5.96	4426	Insertion
ec233	2:144433087-144435324_+	2238	1	cyclic	1	13352	5.97	2240	Insertion
ec234	9:125795789-125798812_-	3024	1	cyclic	1	23875	7.90	3028	Insertion
ec235	18:26303920-26305295_+	1376	1	cyclic	1	13564	9.86	1379	Insertion
ec236	7:144777026-144784002_-	6977	1	cyclic	7	37003	5.30	7168	Insertion
ec237	10:15404231-15406825_-	2595	1	cyclic	1	15383	5.93	2595	No_indel
ec238	12:78528055-78530744_-	2690	1	cyclic	1	15926	5.92	2691	Insertion
ec239	2:28711416-28712157_+	742	1	cyclic	1	5833	7.86	742	No_indel
ec240	4:111700864-111702098_-	1235	1	cyclic	3	7666	6.21	1237	Insertion
ec241	4:158066675-158069968_+	3294	1	cyclic	1	26053	7.91	3297	Insertion
ec242	4:91095063-91096705_+	1643	1	cyclic	1	16214	9.87	1643	No_indel
ec243	12:91691679-91692439_+	761	1	cyclic	1	15012	19.73	762	Insertion
ec244	2:226647670-226651916_-	4247	1	cyclic	1	25163	5.92	4247	No_indel
ec245	4:180183450-180186159_+	2710	1	cyclic	2	16081	5.93	2711	Insertion
ec246	10:83537780-83539360_-	1581	1	cyclic	2	17922	11.34	1581	No_indel
ec247	13:28429222-28432669_+	3448	1	cyclic	1	20393	5.91	3452	Insertion
ec248	1:208840078-208842701_+	2624	1	cyclic	1	15499	5.91	2624	No_indel
ec249	4:110946479-110948407_-	1929	1	cyclic	1	16124	8.36	1930	Insertion
ec250	8:11984534-11986101_-	1568	1	cyclic	1	24049	15.34	1567	Deletion
ec251	16:59575795-59577367_+	1573	1	cyclic	1	28092	17.86	1573	No_indel
ec252	2:36693767-36694821_-	1055	1	cyclic	2	12347	11.70	1055	No_indel
ec253	4:73871125-73872453_+	1329	1	cyclic	1	13160	9.90	1329	No_indel
ec254	9:36672767-36674156_+	1390	1	cyclic	1	10985	7.90	1390	No_indel
ec255	4:14629621-14631936_+	2316	1	cyclic	1	13723	5.93	2316	No_indel
ec256	6:24923136-24925016_+	1881	1	cyclic	1	22329	11.87	1881	No_indel
ec257	1:29161567-29163984_+	2418	1	cyclic	1	28643	11.85	2419	Insertion
ec258	9:3888658-3890025_+	1368	1	cyclic	1	19058	13.93	1369	Insertion
ec259	5:122667742-122669090_-	1349	1	cyclic	2	12736	9.44	1349	No_indel
ec260	8:79591408-79592942_-	1535	1	cyclic	1	11835	7.71	1533	Deletion
ec261	X:115351207-115352687_+	1481	1	cyclic	1	26278	17.74	1487	Insertion
ec262	17:69896399-69897383_+	985	1	cyclic	1	19431	19.73	985	No_indel
ec263	1:228717258-228720767_+	3510	1	cyclic	1	27726	7.90	3510	No_indel
ec264	6:113737217-113740927_+	3711	1	cyclic	1	36557	9.85	3715	Insertion
ec265	3:28932086-28935943_-	3858	1	cyclic	1	22904	5.94	3859	Insertion
ec266	1:243567999-243570724_+	2726	1	cyclic	1	26863	9.85	2726	No_indel
ec267	8:117175085-117177902_+	2818	1	cyclic	1	16326	5.79	2815	Deletion
ec268	7:148590994-148591714_-	721	1	cyclic	1	9108	12.63	721	No_indel
ec269	2:207612328-207614205_+	1878	1	cyclic	1	14831	7.90	1879	Insertion
ec270	4:163480323-163481632_-	1310	1	cyclic	1	7835	5.98	1312	Insertion
ec271	15:71784276-71785738_+	1463	1	cyclic	1	7159	4.89	1465	Insertion
ec272	15:47105560-47107336_-	1777	1	cyclic	1	10610	5.97	1775	Deletion
ec273	3:61469398-61470876_+	1479	1	cyclic	1	20460	13.83	1480	Insertion
ec274	X:74459859-74462602_-	2744	1	cyclic	1	16287	5.94	2744	No_indel
ec275	14:79736523-79737620_+	1098	1	cyclic	1	17231	15.69	1096	Deletion
ec276	11:44413432-44414733_-	1302	1	cyclic	1	15464	11.88	1305	Insertion
ec277	22:35536331-35538272_+	1942	1	cyclic	1	15573	8.02	1971	Insertion
ec278	1:42014308-42015905_+	1598	1	cyclic	1	12567	7.86	1600	Insertion
ec279	X:51802054-51804716_-	2663	1	cyclic	1	26269	9.86	2667	Insertion
ec280	2:31005578-31007576_+	1999	1	cyclic	1	23734	11.87	1999	No_indel
ec281	1:21709568-21710515_-	948	1	cyclic	1	5587	5.89	948	No_indel
ec282	9:72305750-72306275_-	526	1	cyclic	1	24826	47.20	526	No_indel
ec283	5:113012433-113013608_-	1176	1	cyclic	1	12738	10.83	1177	Insertion
ec284	4:42347992-42349240_+	1249	1	cyclic	1	8573	6.86	1249	No_indel
ec285	7:87586659-87587781_-	1123	1	cyclic	1	13294	11.84	1123	No_indel
ec286	X:114577585-114580480_-	2896	1	cyclic	1	22910	7.91	2897	Insertion
ec287	1:71015948-71018891_+	2944	1	cyclic	1	17533	5.96	2949	Insertion
ec288	2:153462441-153464663_+	2223	1	cyclic	1	13148	5.91	2224	Insertion
ec289	13:52700602-52701269_-	668	1	cyclic	1	21800	32.63	668	No_indel
ec290	7:30020682-30023493_-	2812	1	cyclic	1	16623	5.91	2815	Insertion
ec291	6:85472945-85475380_-	2436	1	cyclic	1	19166	7.87	2437	Insertion
ec292	7:126652198-126654092_+	1895	1	cyclic	1	14700	7.76	1894	Deletion
ec293	7:146125030-146125979_+	950	1	cyclic	1	5616	5.91	949	Deletion
ec294	4:94691088-94692073_+	986	1	cyclic	1	15615	15.84	986	No_indel
ec295	5:85307841-85310200_-	2360	1	cyclic	1	13775	5.84	2359	Deletion
ec296	6:96541523-96542652_-	1130	1	cyclic	2	17564	15.54	1134	Insertion
ec297	6:87382088-87383483_+	1396	1	cyclic	1	8320	5.96	1396	No_indel
ec298	9:126441374-126442202_+	829	1	cyclic	1	6476	7.81	829	No_indel
ec299	13:95578441-95581398_+	2958	1	cyclic	1	17538	5.93	2960	Insertion
ec300	8:38839608-38841515_+	1908	1	cyclic	1	11297	5.92	1910	Insertion
ec301	2:119612169-119612756_-	588	1	cyclic	1	12767	21.71	588	No_indel
ec302	4:99239174-99240386_-	1213	1	cyclic	1	9603	7.92	1213	No_indel
ec303	3:141013504-141014548_-	1045	1	cyclic	1	10357	9.91	1048	Insertion
ec304	13:28389553-28392576_+	3024	1	cyclic	1	24075	7.96	3029	Insertion
ec305	8:120996748-121000204_+	3457	1	cyclic	1	33953	9.82	3459	Insertion
ec306	12:26466210-26470397_+	4188	1	cyclic	2	22494	5.37	4186	Deletion
ec307	22:24883773-24885137_-	1365	1	cyclic	1	10829	7.93	1381	Insertion
ec308	2:118671281-118673561_-	2281	1	cyclic	1	22570	9.89	2281	No_indel
ec309	2:86497760-86502829_-	5070	1	cyclic	2	23377	4.61	5069	Deletion
ec310	8:125974449-125975195_-	747	1	cyclic	1	4508	6.03	747	No_indel
ec311	12:26348179-26350029_+	1851	1	cyclic	1	14681	7.93	1851	No_indel
ec312	12:77130979-77133782_+	2804	1	cyclic	1	16606	5.92	2805	Insertion
ec313	18:52083581-52085405_-	1825	1	cyclic	1	17903	9.81	1827	Insertion
ec314	3:148621603-148623656_+	2054	1	cyclic	1	12161	5.92	2058	Insertion
ec315	10:74423091-74424724_-	1634	1	cyclic	1	12820	7.85	1635	Insertion
ec316	13:33170232-33174938_+	4707	1	cyclic	1	27785	5.90	4709	Insertion
ec317	X:109126055-109128777_-	2723	1	cyclic	1	16151	5.93	2724	Insertion
ec318	7:113103454-113106735_+	3282	1	cyclic	1	19201	5.85	3285	Insertion
ec319	5:149387513-149388264_-	752	1	cyclic	1	4462	5.93	753	Insertion
ec320	5:77976943-77977707_+	765	1	cyclic	1	5989	7.83	765	No_indel
ec321	5:36714689-36714956_+	268	1	cyclic	1	2615	9.76	268	No_indel
ec322	X:140248165-140250525_-	2361	1	cyclic	2	22757	9.64	2362	Insertion
ec323	16:74481273-74483314_+	2042	1	cyclic	1	16172	7.92	2045	Insertion
ec324	6:156436355-156436812_-	458	1	cyclic	1	6270	13.69	458	No_indel
ec325	14:88391259-88393594_+	2336	1	cyclic	1	17957	7.69	2337	Insertion
ec326	11:91918124-91922726_-	4603	1	cyclic	1	18687	4.06	4612	Insertion
